"error_name","SurveyorID","Submission.Id","Orig.collection.date","Quad.Sub.Quad","StemTag","Species","QX","QY","DBH","Status.census.2","HOM","Status.2021","Crown.position","Percentage.of.crown.intact","Percentage.of.crown.living","Lean.angle.if.greater.than.15.degrees","FAD","Wounded.main.stem","Canker..swelling..deformity","Rotting.trunk","Lianas","Dead.with.resprout","Notes.2021"
"Dead_but_now_alive_no_note","DJ","94df47b6-fe83-41d6-ba74-c7ec5a95a2d4","2021-07-14","0816-21","81226","tsugca","5.4868","0.45632",NA,"D",1.3,"AU","3",97,94,NA,"I,LF",NA,NA,NA,NA,"False",NA
"Dead_but_now_alive_no_note","NM","6f0da994-eb3f-4341-83f0-d8ad2da59e2c","2021-07-15","0903-22","90207","pinure","1.3495","6.6803",NA,"D",1.3,"A","3",15,0,NA,NA,NA,NA,NA,"0",NA,NA
"wounded_but_no_level","NM","91df762f-3e8b-4775-9d56-514d782ceb81","2021-07-15","0904-11","90277","acerru","6.92355","7.21537",29.2,"A",1.3,"AU","4",100,100,NA,"W",NA,NA,"2","0","False",NA
"duplicated_stem","NM","91df762f-3e8b-4775-9d56-514d782ceb81","2021-07-15","0904-21","90391","tsugca","5.747","4",19.2,"A",1.3,"A","2",100,97,NA,NA,NA,NA,NA,"0",NA,NA
"duplicated_stem","NM","91df762f-3e8b-4775-9d56-514d782ceb81","2021-07-15","0904-21","90391","tsugca","5.747","4",19.2,"A",1.3,"A","2",95,90,NA,NA,NA,NA,NA,"0",NA,NA
"Dead_but_now_alive_no_note","NM","c03aaaf5-1ba4-4ec9-816d-5aecb40c2702","2021-07-15","0908-12","90644","tsugca","2.1871","7.0343",NA,"D",1.3,"A","2",5,0,NA,NA,NA,NA,NA,"0",NA,NA
"wounded_but_no_level","NM","69491052-7580-40de-a5f3-e4c75ae16d84","2021-07-15","0909-22","90708","querru","9.2296","8.1529",43.1,"A",1.3,"AU","4",90,85,NA,"W,F",NA,NA,NA,"0","False",NA
"status_AU_DS_or_DC_but_no_FAD","RB","4615a8d0-37f2-490b-a803-a4ced1abaeec","2021-07-15","1005-11","100546","pinure","4.61392","0.68474",29.8,"A",1.3,"DS","4",50,0,NA,NA,NA,NA,NA,"0","False",NA
"status_AU_DS_or_DC_but_no_FAD","RB","a49e13e0-e3de-4500-95bb-e08010daf6f0","2021-07-15","1006-11","100635","piceab","2.4949","2.97717",10.5,"A",1.3,"DS","1",90,0,NA,NA,NA,NA,NA,"0","False",NA
"wounded_but_no_level","RB","a49e13e0-e3de-4500-95bb-e08010daf6f0","2021-07-15","1006-11","100637","querru","2.12446","4.34056",26.5,"A",1.3,"AU","2",50,48,NA,"R,W",NA,NA,NA,"0","False",NA
"status_AU_DS_or_DC_but_no_FAD","RB","a49e13e0-e3de-4500-95bb-e08010daf6f0","2021-07-15","1006-11","100658","pinure","8.03607","2.5862",25.3,"A",1.3,"DS","3",5,0,NA,NA,NA,NA,NA,"0","False",NA
"missing_percent_crown_living","RB","1bcaf8a6-20d1-4a0f-acaf-fbd29928b64d","2021-07-15","1011-22","101020","piceab","8.6755","3.3797",NA,"D",1.3,"DS","1",86,NA,NA,NA,NA,NA,NA,"0","False",NA
"duplicated_stem","RB","6acff4e0-de30-4b9d-b63f-851b57fb1b4c","2021-07-15","1012-21","101093","tsugca","6.8082","0.10963",44.7,"A",1.3,"DS","1",0,0,NA,NA,NA,NA,NA,"0","False",NA
"duplicated_stem","RB","6acff4e0-de30-4b9d-b63f-851b57fb1b4c","2021-07-15","1012-21","101093","tsugca","6.8082","0.10963",44.7,"A",1.3,"AU","3",70,60,NA,"I,LF,DF",NA,NA,NA,"0","False",NA
"status_AU_DS_or_DC_but_no_FAD","RB","6acff4e0-de30-4b9d-b63f-851b57fb1b4c","2021-07-15","1012-21","101093","tsugca","6.8082","0.10963",44.7,"A",1.3,"DS","1",0,0,NA,NA,NA,NA,NA,"0","False",NA
"status_AU_DS_or_DC_but_no_FAD","RB","6acff4e0-de30-4b9d-b63f-851b57fb1b4c","2021-07-15","1012-21","101093","tsugca","6.8082","0.10963",44.7,"A",1.3,"AU","3",70,60,NA,"I,LF,DF",NA,NA,NA,"0","False",NA
"status_AU_DS_or_DC_but_no_FAD","KN","1f441dad-be39-41d9-8a97-c451989eb4dc","2021-07-15","1102-12","110093","pinure","1.84081","3.3347",20.4,"A",1.3,"DS","1",0,0,NA,NA,NA,NA,NA,NA,"False",NA
"duplicated_stem","AK","be067ccd-745a-4383-917d-0336b7b94a53","2021-07-15","1103-21","110253","pinure","0.9782","9.85577",NA,"D",1.3,"A","4",100,80,NA,NA,NA,NA,NA,"0",NA,NA
